Table 1.2 - Count Of Births Of New Enterprises For 2016 To 2021 Standard Industrial Classification (SIC2007) Group,,,,,,
This worksheet contains one table,,,,,,
Units: Counts (control rounded to base 5),,,,,,
Sector,2016,2017,2018,2019,2020,2021
05 : Mining of coal and lignite,0,0,0,0,0,0
    051 : Mining of hard coal,0,0,0,0,0,0
    052 : Mining of lignite,0,0,0,0,0,0
06 : Extraction of crude petroleum and natural gas,20,25,30,25,20,15
    061 : Extraction of crude petroleum,10,15,15,10,5,5
    062 : Extraction of natural gas,10,10,15,15,15,10
07 : Mining of metal ores,0,0,0,0,0,5
    071 : Mining of iron ores,0,0,0,0,0,0
    072 : Mining of non-ferrous metal ores,0,0,0,0,0,5
08 : Other mining and quarrying,45,70,65,55,55,70
"    081 : Quarrying of stone, sand and clay",10,15,15,5,10,15
    089 : Mining and quarrying n.e.c.,35,55,50,50,45,55
09 : Mining support service activities,50,60,50,65,40,35
    091 : Support activities for petroleum and natural gas extraction,30,20,25,25,10,5
    099 : Support activities for other mining and quarrying,20,40,25,40,30,30
10 : Manufacture of food products,980,"1,025","1,005","1,050","1,190","1,530"
    101 : Processing and preserving of meat and production of meat products,100,85,75,80,70,85
"    102 : Processing and preserving of fish, crustaceans and molluscs",20,20,20,15,15,25
    103 : Processing and preserving of fruit and vegetables,80,85,75,75,65,85
    104 : Manufacture of vegetable and animal oils and fats,5,10,10,20,15,20
    105 : Manufacture of dairy products,85,85,70,80,70,110
"    106 : Manufacture of grain mill products, starches and starch products",15,20,20,25,20,30
    107 : Manufacture of bakery and farinaceous products,345,345,345,290,395,585
    108 : Manufacture of other food products,285,325,350,410,495,510
    109 : Manufacture of prepared animal feeds,45,50,40,55,45,80
11 : Manufacture of beverages,385,415,395,415,385,375
    110 : Manufacture of beverages,385,415,395,415,385,375
12 : Manufacture of tobacco products,5,5,5,0,0,5
    120 : Manufacture of tobacco products,5,5,5,0,0,5
13 : Manufacture of textiles,405,485,560,485,465,510
    131 : Preparation and spinning of textile fibres,15,15,15,15,10,10
    132 : Weaving of textiles,30,10,10,20,20,25
    133 : Finishing of textiles,155,160,130,145,135,165
    139 : Manufacture of other textiles,205,300,405,305,300,310
14 : Manufacture of wearing apparel,625,600,615,570,695,680
"    141 : Manufacture of wearing apparel, except fur apparel",595,585,600,555,665,655
    142 : Manufacture of articles of fur,0,0,0,0,0,0
    143 : Manufacture of knitted and crocheted apparel,30,15,15,15,30,25
15 : Manufacture of leather and related products,95,75,90,70,85,90
"    151 : Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur",70,50,60,55,70,65
    152 : Manufacture of footwear,25,25,30,15,15,25
"16 : Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","1,165","1,160","1,085",925,945,"1,450"
    161 : Sawmilling and planing of wood,45,35,35,30,25,30
