Date,Description, (GBP) Amount ,Transaction Type,Bank,Category 1,
30/05/2023,TFL TRAVEL CH\VICTORIA, -£5.25 ,Outgoing,Monzo,Transport,
26/05/2023,TFL TRAVEL CH\VICTORIA, -£5.25 ,Outgoing,Monzo,Transport,
25/05/2023,Studioway Food & Wine Borehamwood GBR, -£4.09 ,Outgoing,Monzo,Groceries,
24/05/2023,Studioway Food & Wine Borehamwood GBR, -£3.99 ,Outgoing,Monzo,Groceries,
22/05/2023,PPOINT_*STUDIO WAY FOO BOREHAMWOOD, -£2.50 ,Outgoing,Monzo,Groceries,
22/05/2023,Studioway Food & Wine Borehamwood GBR, -£7.33 ,Outgoing,Monzo,Groceries,
22/05/2023,Studioway Food & Wine Borehamwood GBR, -£4.25 ,Outgoing,Monzo,Groceries,
22/05/2023,CRO INTERNET MLT, £0.10 ,Income,Monzo,Internet Services,
21/05/2023,Studioway Food & Wine Borehamwood GBR, -£4.75 ,Outgoing,Monzo,Groceries,
21/05/2023,Monzo Plus, -£5.00 ,Outgoing,Monzo,Banking/Financial Services,
20/05/2023,PPOINT_*STUDIO WAY FOO BOREHAMWOOD, -£3.10 ,Outgoing,Monzo,Groceries,
20/05/2023,PPOINT_*STUDIO WAY FOO BOREHAMWOOD, -£1.89 ,Outgoing,Monzo,Groceries,
20/05/2023,PPOINT_*STUDIO WAY FOO BOREHAMWOOD, -£5.84 ,Outgoing,Monzo,Groceries,
19/05/2023,Studioway Food & Wine Borehamwood GBR, -£4.09 ,Outgoing,Monzo,Groceries,
19/05/2023,PRET A MANGER LONDON GBR, -£2.99 ,Outgoing,Monzo,Food and Dining,
18/05/2023,WAITROSE LONDON GBR, -£11.00 ,Outgoing,Monzo,Groceries,
18/05/2023,NISA LOCAL ELSTREE STA BOREHAMWOOD, -£2.74 ,Outgoing,Monzo,Groceries,
18/05/2023,Sullivan Buses Potters Bar GBR, -£1.60 ,Outgoing,Monzo,Transport,
18/05/2023,TfL Travel Charge TFL.gov.uk/CP GBR, -£1.75 ,Outgoing,Monzo,Transport,
18/05/2023,MCDONALDS LONDON GBR, -£3.09 ,Outgoing,Monzo,Food and Dining,
18/05/2023,ONE STOP FOOD AND WINE LONDON GBR, -£1.25 ,Outgoing,Monzo,Groceries,
18/05/2023,Ms M Cambridge (Faster Payments), -£20.00 ,Outgoing,Monzo,Transfer,
18/05/2023,TfL Unpaid Fares TFL.gov.uk/CP GBR, £0.10 ,Income,Monzo,Transport,
17/05/2023,TGC ST KATHERINES LONDON GBR, -£7.00 ,Outgoing,Monzo,TGI (unknown),May be TGC exchange
17/05/2023,NISA LOCAL ELSTREE STA BOREHAMWOOD, -£1.49 ,Outgoing,Monzo,Groceries,
17/05/2023,ARGOS BOREHAMWOOD GBR, -£18.99 ,Outgoing,Monzo,Retail,
17/05/2023,AGE UK HERTSUNITED K GBR, -£5.00 ,Outgoing,Monzo,Charity,
17/05/2023,CARTER PHARMACY LONDON N12 GBR, -£7.00 ,Outgoing,Monzo,Pharmacy,
17/05/2023,Ms M Cambridge (Faster Payments), -£20.00 ,Outgoing,Monzo,Transfer,
16/05/2023,FAST FOOD LONDON GBR, -£4.40 ,Outgoing,Monzo,Food and Dining,
16/05/2023,NISA LOCAL ELSTREE STA BOREHAMWOOD, -£1.49 ,Outgoing,Monzo,Groceries,
16/05/2023,PPOINT_*STUDIO WAY FOO BOREHAMWOOD, -£4.45 ,Outgoing,Monzo,Groceries,
15/05/2023,MCDONALDS BARNET GBR, -£1.49 ,Outgoing,Monzo,Food and Dining,
15/05/2023,ALDI 781 142 LONDON GBR, -£1.69 ,Outgoing,Monzo,Groceries,
15/05/2023,TESCO STORES 6042 LONDON GBR, -£1.40 ,Outgoing,Monzo,Groceries,
