Date,Description,(GBP) Amount,Category,Transaction Type,Bank,Category 1
30/05/2023,TFL TRAVEL CH\VICTORIA,-5.25,Transport,Outgoing,Monzo,Transport
26/05/2023,TFL TRAVEL CH\VICTORIA,-5.25,Transport,Outgoing,Monzo,Transport
25/05/2023,Studioway Food & Wine Borehamwood GBR,-4.09,Groceries,Outgoing,Monzo,Groceries
24/05/2023,Studioway Food & Wine Borehamwood GBR,-3.99,Groceries,Outgoing,Monzo,Groceries
22/05/2023,PPOINT_*STUDIO WAY FOO BOREHAMWOOD,-2.5,Groceries,Outgoing,Monzo,Groceries
22/05/2023,Studioway Food & Wine Borehamwood GBR,-7.33,Groceries,Outgoing,Monzo,Groceries
22/05/2023,Studioway Food & Wine Borehamwood GBR,-4.25,Groceries,Outgoing,Monzo,Groceries
22/05/2023,CRO INTERNET MLT,0.1,Cryptocurrency,Income,Monzo,Internet Services
21/05/2023,Studioway Food & Wine Borehamwood GBR,-4.75,Groceries,Outgoing,Monzo,Groceries
21/05/2023,Monzo Plus,-5,Banking,Outgoing,Monzo,Banking/Financial Services
20/05/2023,PPOINT_*STUDIO WAY FOO BOREHAMWOOD,-3.1,Groceries,Outgoing,Monzo,Groceries
20/05/2023,PPOINT_*STUDIO WAY FOO BOREHAMWOOD,-1.89,Groceries,Outgoing,Monzo,Groceries
20/05/2023,PPOINT_*STUDIO WAY FOO BOREHAMWOOD,-5.84,Groceries,Outgoing,Monzo,Groceries
19/05/2023,Studioway Food & Wine Borehamwood GBR,-4.09,Groceries,Outgoing,Monzo,Groceries
19/05/2023,PRET A MANGER LONDON GBR,-2.99,Groceries,Outgoing,Monzo,Food and Dining
18/05/2023,WAITROSE LONDON GBR,-11,Groceries,Outgoing,Monzo,Groceries
18/05/2023,NISA LOCAL ELSTREE STA BOREHAMWOOD,-2.74,Groceries,Outgoing,Monzo,Groceries
18/05/2023,Sullivan Buses Potters Bar GBR,-1.6,Transport,Outgoing,Monzo,Transport
18/05/2023,TfL Travel Charge TFL.gov.uk/CP GBR,-1.75,Transport,Outgoing,Monzo,Transport
18/05/2023,MCDONALDS LONDON GBR,-3.09,Eat out,Outgoing,Monzo,Food and Dining
18/05/2023,ONE STOP FOOD AND WINE LONDON GBR,-1.25,Groceries,Outgoing,Monzo,Groceries
18/05/2023,Ms M Cambridge (Faster Payments),-20,Client's self-transfer,Outgoing,Monzo,Transfer
18/05/2023,TfL Unpaid Fares TFL.gov.uk/CP GBR,0.1,Transport,Income,Monzo,Transport
17/05/2023,TGC ST KATHERINES LONDON GBR,-7,Unknown/Other (not enough information to categorize),Outgoing,Monzo,TGI (unknown)
17/05/2023,NISA LOCAL ELSTREE STA BOREHAMWOOD,-1.49,Groceries,Outgoing,Monzo,Groceries
17/05/2023,ARGOS BOREHAMWOOD GBR,-18.99,Retail,Outgoing,Monzo,Retail
17/05/2023,AGE UK HERTSUNITED K GBR,-5,Charity,Outgoing,Monzo,Charity
17/05/2023,CARTER PHARMACY LONDON N12 GBR,-7,Pharmacy,Outgoing,Monzo,Pharmacy
17/05/2023,Ms M Cambridge (Faster Payments),-20,Client's self-transfer,Outgoing,Monzo,Transfer
16/05/2023,FAST FOOD LONDON GBR,-4.4,Eat out,Outgoing,Monzo,Food and Dining
16/05/2023,NISA LOCAL ELSTREE STA BOREHAMWOOD,-1.49,Groceries,Outgoing,Monzo,Groceries
16/05/2023,PPOINT_*STUDIO WAY FOO BOREHAMWOOD,-4.45,Groceries,Outgoing,Monzo,Groceries
15/05/2023,MCDONALDS BARNET GBR,-1.49,Eat out,Outgoing,Monzo,Food and Dining
15/05/2023,ALDI 781 142 LONDON GBR,-1.69,Groceries,Outgoing,Monzo,Groceries
15/05/2023,TESCO STORES 6042 LONDON GBR,-1.4,Groceries,Outgoing,Monzo,Groceries
15/05/2023,SAINSBURYS WAPPING LON LONDON GBR,-2,Groceries,Outgoing,Monzo,Groceries
15/05/2023,Zettle_*Wapping Sourdo London GBR,-4,Groceries,Outgoing,Monzo,Food and Dining
